,id,synopsis,rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio
271,357,"Planet 51 is a galactic-sized animated alien adventure comedy revolving around American astronaut Captain Charles ""Chuck"" Baker, who lands on Planet 51 thinking he's the first person to step foot on it. To his surprise, he finds that this planet is inhabited by little green people who are happily living in a white picket fence world reminiscent of a cheerfully innocent 1950s America, and whose only fear is that it will be overrun by alien invaders...like Chuck",PG,Action and Adventure|Animation|Comedy|Kids and Family,Jorge Blanco,Joe Stillman,"Nov 20, 2009","Mar 9, 2010",$,42194060,91 minutes,Sony Pictures/TriStar Pictures
278,367,They broke everything but her spirit. They took everything but her dream. This is the incredible true story of a fearless Irish heroine driven by her daring vision to escape the slums of Ireland and risk everything on the streets of Vietnam.,PG-13,Drama,Stephen Bradley,Stephen Bradley,"May 8, 2015","Mar 1, 2016",$,347321,100 minutes,Aspiration Media
287,377,"It's 1969, and Elliot Tiber, a down-on-his-luck interior designer in Greenwich Village, New York, has to move back upstate to help his parents run their dilapidated Catskills motel, The El Monaco. The bank's about to foreclose; his father wants to burn the place down, but hasn't paid the insurance; and Elliot is still figuring how to come out to his parents. When Elliot hears that a neighboring town has pulled the permit on a hippie music festival, he calls the producers, thinking he could drum up some much-needed business for the motel. Three weeks later, half a million people are on their way to his neighbor's farm in White Lake, N.Y., and Elliot finds himself swept up in a generation-defining experience that would change his life, and American culture, forever. The film features a standout ensemble cast and songs from a score of '60s musical icons, including The Grateful Dead, The Doors, Jefferson Airplane and Country Joe and the Fish -- plus a new recording of ""Freedom"" from Richie Havens.",R,Comedy|Drama|Musical and Performing Arts,Ang Lee,James Schamus,"Aug 28, 2009","Dec 15, 2009",$,7366736,121 minutes,Focus Features
311,410,"""Cadillac Records"" is about the rise and fall of Chess Records, which launched the careers of Muddy Waters, Etta James and Chuck Berry. Leonard Chess scoured the South, checking out the various blues scenes and selling records from the back of his Cadillac.",R,Drama|Musical and Performing Arts,Darnell Martin,Darnell Martin,"Dec 5, 2008","Mar 10, 2009",$,8134217,108 minutes,Sony Pictures
323,423,"Deep in the San Fernando Valley, amidst rows of dilapidated warehouses, was rock n' roll's best kept secret: Sound City. America's greatest unsung recording studio housed a one-of-a-kind console, and as its legend grew, seminal bands and artists such as Fleetwood Mac, Neil Young, Rick Springfield, Tom Petty, Metallica and Nirvana all came out to put magic to tape. Directed by Dave Grohl (Nirvana, Foo Fighters) and featuring interviews and performances from the iconic musicians who recorded some of rock's greatest albums at the studio, Sound City doesn't just tell the story of this real-life rock 'n' roll shrine, it celebrates the human element of music as Grohl gathers some of rock's biggest artists to collaborate on a new album. Using Sound City's legendary analog console, together these artists continue to create musical miracles in a digital world. (c) Variance",NR,Documentary|Musical and Performing Arts,Dave Grohl,Mark Monroe,"Feb 1, 2013","Apr 7, 2014",$,419361,108 minutes,Variance Films
326,427,"One man takes on the Irish family law system and the Catholic Church in a bid to be reunited with his children in this drama, based on a true story. In 1953, Desmond Doyle (Pierce Brosnan) was a house painter and decorator who, despite a strong work ethic, had a hard time holding on to steady work. Desmond's wife had grown tired of her marriage and her husband's financial problems, and one day walked away from her home, leaving Desmond to raise their three children on his own. While Desmond struggles to keep body and soul together for his children, his sporadic employment eventually attracts the attention of the law, and a court order sends his two sons and young daughter to separate Catholic orphanages until Desmond can prove he's capable of properly supporting them. However, Desmond discovers merely getting work is not enough to bring his children back to him, and when he learns that his daughter, Evelyn (Sophie Vavasseur), is having a rough time of it at the hands of several stern nuns, he becomes determined to win their custody in a court of law. Through Bernadette (Julianna Margulies), a barmaid who has caught his eye, Desmond meets Michael Beattie (Stephen Rea), a lawyer and Bernadette's brother. While Michael doesn't believe Desmond's case can be won in an Irish court, his partner Nick Barron (Aidan Quinn), an expatriate American who lost custody of his own children in a divorce proceeding, is eager to help, and they agree to take the case. However, they both realize they're fighting an uphill battle, and so they persuade Thomas Connolly (Alan Bates), a former football star who became one of Ireland's most respected barristers, to lend his knowledge and prestige to the case. Leading man Bronson also served a co-producer for Evelyn; Bruce Beresford directed, who previously collaborated with Pierce Brosnan on Mister Johnson.",PG,Art House and International|Drama,Bruce Beresford,Paul Pender,"Dec 13, 2002","Apr 15, 2003",$,1341151,96 minutes,MGM/UA
330,433,"The best-selling suspense novel by late author Robert Ludlum comes to the screen for a second time, following a 1988 made-for-TV movie. Matt Damon stars as Jason Bourne, a barely alive amnesiac with a pair of bullet wounds in his back, pulled from the Mediterranean by Italian fishermen. Bourne's only clue to his own identity is a bank account number etched on a capsule implanted in his body. He quickly finds the Zurich bank where money, a gun, and a few identification documents await, but after he's pursued by security goons at the American consulate, Bourne realizes he can trust no one and offers a German gypsy named Marie (Franka Potente) ten thousand dollars for a ride to Paris. Encountering more professional killers bent on his destruction, Bourne discovers that he possesses a surprising degree of skill in combat, martial arts, and linguistics -- handy talents that clearly indicate his past includes work as a spy and assassin, but for whom? With Marie's reluctant help, Bourne edges closer to the truth, something CIA officials want concealed at all costs. The Bourne Identity co-stars Chris Cooper, Clive Owen, Brian Cox, and Julia Stiles.",PG-13,Action and Adventure|Mystery and Suspense,Doug Liman,Tony Gilroy|William Blake Herron,"Jun 14, 2002","Jan 21, 2003",$,121500000,117 minutes,Universal Pictures
338,443,"Marvel's first family of comic superheroes takes the world by storm as the longest running comic book series in history comes to the big screen. Reed Richards/Mr. Fantastic, who can elongate his body; Susan Storm/Invisible Woman, who not only can become invisible at will but can render other objects invisible; Johnny Storm/Human Torch, who can shoot fire from his finger tips and bend flame; and Ben Grimm/The Thing, a hideously misshapen monster with superhuman strength, together battle the evil Doctor Doom.",PG-13,Action and Adventure|Science Fiction and Fantasy,Tim Story,Mark Frost|Michael France|Carl Johansen,"Jul 8, 2005","Dec 6, 2005",$,154485963,123 minutes,20th Century Fox
346,452,"The stars have aligned in an ominous sign, and as a legion of malevolent monsters descends upon New York City to wage war against humanity, the only thing that stands between humankind and certain destruction are four wisecracking turtles with a flair for martial arts and a hearty appetite for pizza. Kevin Eastman and Peter Laird's ""heroes in a half-shell"" return to defend the world against an interstellar threat that comes just once every 3,000 years in a computer-animated action comedy that marked the final film role of Japanese screen legend Mako -- here providing the voice of the eternally wise Master Splinter. Buffy the Vampire Slayer star Sarah Michelle Gellar lends her voice to the role of the turtles' technical-services worker, April; Fantastic Four's Chris Evans assumes the role of hockey-loving crimefighter Casey Jones; Memoirs of a Geisha star Zhang Ziyi steps in as villainous Foot Ninjas leader Karai; and Star Trek: The Next Generation captain Patrick Stewart voices malevolent tech industrialist Max Winters -- a mortal man whose hunger for profit and power may spell doom for all humanity.",PG,Action and Adventure|Animation|Science Fiction and Fantasy,Kevin Munroe,Kevin Munroe,"Mar 23, 2007","Aug 7, 2007",$,54132596,86 minutes,Warner Bros. Pictures
349,456,"The eerie and deserted ghost town of Silent Hill draws a young mother desperate to find a cure for her only child's illness. Unable to accept the doctor's diagnosis that her daughter should be permanently institutionalized for psychiatric care, Rose flees with her child, heading for the abandoned town in search of answers -- and ignoring the protests of her husband. It's soon clear this place is unlike anywhere she's ever been. It's smothered by fog, inhabited by a variety of strange beings and periodically overcome by a living ""darkness"" that literally transforms everything it touches. As Rose begins to learn the history of the strange town, she realizes that her daughter is just a pawn in a larger game.",R,Action and Adventure|Horror,Christophe Gans,Roger Avary,"Apr 21, 2006","Aug 22, 2006",$,46982632,125 minutes,Sony Pictures
351,458,"This is a romantic comedy set in Paris about a family that goes there because of business, and two young people who are engaged to be married in the fall have experiences there that change their lives. It's about a young man's great love for a city, Paris, and the illusion people have that a life different from theirs would be much better. It stars Owen Wilson, Rachel McAdams, Marion Cotillard, Kathy Bates, Carla Bruni, among others. -- (C) Sony Classics",PG-13,Comedy|Romance,Woody Allen,Woody Allen,"Jun 10, 2011","Dec 20, 2011",$,55400000,94 minutes,Sony Pictures Classics
